Student utterance;CEFR;Corrected version;Error Type
They didn’t have enouf time.;A2;They didn’t have enough time.;spelling
I didn’t knew the answer.;A2;I didn’t know the answer.;grammar
I can’t find they’re house.;A2;I can’t find their house.;spelling
I am responsible of organizing the event.;A2;I am responsible for organizing the event.;vocabulary
He said me that he was busy.;A2;He told me that he was busy./He said to me that he was busy.;vocabulary
She was working when I arrived.;A2;She was working when I arrived.;correct
We don’t have to bear uniforms at work.;A2;We don’t have to wear uniforms at work.;vocabulary
He gave me an advice.;A2;He gave me some advice./He gave me some advice.;vocabulary
I have alot of homework today.;A2;I have a lot of homework today.;spelling
She borrowed me some money.;A2;She lent me some money.;vocabulary
I promise I will help you with the project.;A2;I promise I will help you with the project.;correct
We was very tired after the trip.;A2;We were very tired after the trip.;grammar
We are meeting our teacher tomorrow.;A2;We are meeting our teacher tomorrow.;correct
I was born on 1995.;A2;I was born in 1995.;grammar
She was wearing a red dress at the party.;A2;She was wearing a red dress at the party.;correct
We were late because the bus was to slow.;A2;We were late because the bus was too slow.;spelling
I usualy get up at 7 o’clock.;A2;I usually get up at 7 o’clock.;spelling
I did a mistake in the test.;A2;I made a mistake in the test.;vocabulary
I want to make a photo with you.;A2;I want to take a photo with you.;vocabulary
He was tired but he finished the work.;A2;He was tired but he finished the work.;correct
She is studying harder than before.;A2;She is studying harder than before.;correct
I am planning to start a new course next month.;A2;I am planning to start a new course next month.;correct
He didn’t told me the truth.;A2;He didn’t tell me the truth.;grammar
Can I leave early today?;A2;Can I leave early today?;correct
There is a book in the table.;A2;There is a book on the table.;grammar
I was very tired so I didn’t went out.;A2;I was very tired so I didn’t go out.;grammar
He made a decision qickly.;A2;He made a decision quickly.;spelling
My father works in a big compagny.;A2;My father works in a big company.;spelling
He asked me where was I going.;A2;He asked me where I was going.;grammar
We went to the cinema and the film was very interessting.;A2;We went to the cinema and the film was very interesting.;spelling
If I will see her, I tell her the news.;A2;If I see her, I will tell her the news.;grammar
Its difficult to understand this rule.;A2;It’s difficult to understand this rule.;spelling
We had dinner at a restaurant near the beach.;A2;We had dinner at a restaurant near the beach.;correct
She was more happier after she got the job.;A2;She was happier after she got the job.;grammar
I am very exciting about the trip.;A2;I am very excited about the trip.;vocabulary
